End Date;Downloads;Cumulative Downloads;Usage Penetration;Active Users;Install Penetration;Install Base;Open Rate;Avg Sessions / User;Avg Session Duration;Avg Time / User;Total Time;Avg Active Days;% Active Days;Share of Category Time;Avg MB / User;Avg MB / Session;Paid Downloads;Organic Downloads;% Paid Downloads;% Organic Downloads;Cumulative Avg Ratings;Cumulative Total Ratings;Incremental Avg Ratings;Incremental Total Ratings;Cumulative Favorable %;Cumulative Critical %;Incremental Favorable %;Incremental Critical %
dic-16;47142;702768;4,32%;672155;8,42%;1308654;51,36%;13,39;00:00:21;00:04:45;2907689;3,89;12,54%;2,62%;1,83;0,14;0;47142;0,00%;100,00%;4,49;623;3,22;23;88,28%;8,83%;52,17%;43,48%
ene-17;39841;742609;3,55%;779178;7,88%;1728136;45,09%;11,18;00:00:37;00:06:57;4991710;3,61;11,65%;3,16%;1,65;0,15;0;39841;0,00%;100,00%;4,47;647;3,88;24;87,64%;9,43%;70,83%;25,00%
feb-17;35426;778035;3,97%;885366;8,30%;1852387;47,80%;11,36;00:00:26;00:04:55;4024722;3,85;13,74%;3,07%;1,59;0,14;0;35426;0,00%;100,00%;4,45;674;4,04;27;86,94%;9,64%;70,37%;14,81%
mar-17;38416;816451;4,79%;1086838;8,64%;1960375;55,44%;10,64;00:00:25;00:04:26;4468796;3,56;11,47%;2,75%;1,57;0,15;0;38416;0,00%;100,00%;4,45;690;4,25;16;86,67%;9,71%;75,00%;12,50%
abr-17;42517;858968;4,40%;1016077;8,74%;2016194;50,40%;11,24;00:00:34;00:06:22;5891717;3,58;11,92%;4,00%;2,38;0,21;0;42517;0,00%;100,00%;4,43;726;4,19;36;86,23%;10,19%;77,78%;19,44%
may-17;48652;907620;4,91%;1150551;9,15%;2146116;53,61%;12,31;00:00:28;00:05:45;6027144;3,77;12,15%;3,91%;2,02;0,16;0;48652;0,00%;100,00%;4,43;777;4,45;51;86,23%;10,30%;86,27%;11,76%
jun-17;46013;953633;5,03%;1197391;9,58%;2281408;52,48%;11,35;00:00:33;00:06:18;6889695;4,08;13,59%;4,20%;3,13;0,28;0;46013;0,00%;100,00%;4,42;853;4,32;76;85,93%;10,67%;82,89%;14,47%
jul-17;56756;1010389;5,11%;1236767;9,73%;2353434;52,55%;12,87;00:00:30;00:06:38;7554792;4,03;13,02%;4,09%;4,33;0,34;0;56756;0,00%;100,00%;4,46;1158;4,57;305;87,13%;9,50%;90,49%;6,23%
ago-17;59826;1070215;5,95%;1460237;10,15%;2492194;58,59%;12,16;00:00:28;00:05:44;7787404;3,73;12,04%;3,95%;4,38;0,36;0;59826;0,00%;100,00%;4,47;1465;4,51;307;87,03%;9,35%;86,65%;8,80%
sept-17;57204;1127419;5,97%;1489152;11,01%;2745201;54,25%;14,06;00:00:26;00:06:19;8718504;4,37;14,57%;3,92%;4,43;0,32;0;57204;0,00%;100,00%;4,50;1782;4,61;317;87,77%;8,98%;91,17%;7,26%
oct-17;63294;1190713;6,34%;1603681;11,02%;2785851;57,57%;13,32;00:00:30;00:06:40;9961533;4,15;13,37%;4,55%;5,25;0,39;0;63294;0,00%;100,00%;4,49;2314;4,48;532;87,34%;9,07%;85,90%;9,40%
nov-17;64296;1255009;6,88%;1765742;11,88%;3046828;57,95%;13,65;00:00:27;00:06:18;10415661;4,49;14,96%;4,70%;5,20;0,38;0;64296;0,00%;100,00%;4,61;5446;4,69;3132;90,47%;5,69%;92,78%;3,19%
dic-17;235964;1490973;10,91%;2832254;15,85%;4114574;68,83%;13,72;00:00:34;00:07:54;21513195;3,69;11,91%;7,09%;5,98;0,44;0;235964;0,00%;100,00%;4,65;12320;4,68;6874;91,97%;4,09%;93,16%;2,82%
ene-18;127300;1618273;7,32%;1930061;13,97%;3682883;52,41%;11,88;00:00:35;00:07:05;12572840;3,84;12,38%;;6,32;0,53;0;127300;0,00%;100,00%;4,66;17812;4,67;5492;92,31%;3,54%;93,08%;2,29%
feb-18;106512;1724785;7,93%;2118186;14,56%;3890523;54,44%;13,06;00:00:37;00:08:14;16024047;4,03;14,38%;;4,40;0,34;0;106512;0,00%;100,00%;4,66;20871;4,68;3059;92,42%;3,45%;93,04%;2,91%
mar-18;119802;1844587;8,87%;2401615;15,57%;4214101;56,99%;14,81;00:00:35;00:08:39;19239385;4,14;13,35%;;6,51;0,44;0;119802;0,00%;100,00%;4,66;22624;4,65;1753;92,42%;3,47%;92,47%;3,71%
abr-18;167702;2012289;10,66%;2923054;16,39%;4493362;65,05%;16,41;00:00:34;00:09:24;25532221;4,65;15,50%;;9,60;0,59;0;167702;0,00%;100,00%;4,66;27230;4,69;4606;92,51%;3,33%;92,92%;2,67%
may-18;196197;2208486;11,17%;3101415;16,88%;4686060;66,18%;18,04;00:00:35;00:10:36;30493568;4,98;16,06%;;9,55;0,53;0;196197;0,00%;100,00%;4,68;31991;4,75;4761;92,87%;3,13%;94,96%;1,97%
jun-18;188127;2396613;12,09%;3373706;17,98%;5018123;67,23%;14,63;00:00:37;00:09:15;29941665;4,61;15,37%;;8,27;0,57;0;188127;0,00%;100,00%;4,69;37873;4,74;5882;93,15%;2,90%;94,64%;1,65%
jul-18;184564;2581177;12,63%;3567180;18,38%;5189381;68,74%;15,06;00:00:40;00:10:13;35087599;4,81;15,52%;;5,67;0,38;0;184564;0,00%;100,00%;4,70;44644;4,75;6939;93,40%;2,75%;94,83%;1,87%
ago-18;186236;2767413;13,43%;3836921;19,90%;5684138;67,50%;17,00;00:00:36;00:10:17;38042444;5,02;16,19%;;4,79;0,28;0;186236;0,00%;100,00%;4,70;51418;4,74;6774;93,51%;2,68%;94,27%;2,24%
sept-18;172251;2939664;12,82%;3702378;20,24%;5846160;63,33%;15,78;00:00:41;00:10:56;38887375;4,84;16,14%;;3,80;0,24;0;172251;0,00%;100,00%;4,71;56850;4,73;5432;93,60%;2,69%;94,44%;2,76%
oct-18;241735;3181399;14,78%;4317395;22,08%;6446956;66,97%;18,57;00:00:36;00:11:26;47604918;5,25;16,93%;;4,34;0,23;0;241735;0,00%;100,00%;4,71;60753;4,73;3903;93,63%;2,70%;94,06%;2,82%
nov-18;232807;3414206;15,27%;4484447;23,67%;6948614;64,54%;18,71;00:00:37;00:11:47;50888205;5,58;18,59%;;4,26;0,23;0;232807;0,00%;100,00%;4,71;69720;4,74;8967;93,69%;2,67%;94,08%;2,50%
dic-18;248777;3662983;17,34%;5117911;25,28%;7462752;68,58%;20,53;00:00:37;00:12:53;63458651;5,70;18,38%;;4,26;0,21;0;248777;0,00%;100,00%;4,72;77404;4,78;7684;93,84%;2,60%;95,21%;1,91%
ene-19;382636;4045619;18,15%;5385050;26,62%;7899723;68,17%;22,82;00:00:36;00:13:58;72304697;6,08;19,62%;;4,28;0,19;0;382636;0,00%;100,00%;4,73;86648;4,80;9244;94,07%;2,50%;95,98%;1,70%
feb-19;314726;4360345;19,56%;5830761;27,81%;8290377;70,33%;19,10;00:00:37;00:12:05;67706376;5,62;20,08%;;4,29;0,22;0;314726;0,00%;100,00%;4,73;95365;4,78;8717;94,16%;2,49%;95,09%;2,34%
mar-19;411551;4771896;20,29%;6078006;29,32%;8781022;69,22%;20,57;00:00:39;00:13:23;78175645;6,19;19,97%;;4,29;0,21;0;411551;0,00%;100,00%;4,74;104504;4,78;9139;94,27%;2,44%;95,44%;1,97%
abr-19;487303;5259199;22,43%;6749847;30,82%;9272591;72,79%;21,14;00:00:39;00:13:49;89708148;6,46;21,53%;;4,34;0,21;0;487303;0,00%;100,00%;4,74;114664;4,78;10160;94,35%;2,41%;95,12%;2,06%
may-19;506797;5765996;22,83%;6899921;31,79%;9607361;71,82%;20,77;00:00:40;00:13:55;92360040;6,37;20,54%;;4,38;0,21;0;506797;0,00%;100,00%;4,74;127140;4,75;12476;94,36%;2,41%;94,46%;2,43%
jun-19;488124;6254120;25,24%;7657684;34,32%;10414295;73,53%;22,74;00:00:42;00:16:02;117948245;6,63;22,09%;;4,36;0,19;0;488124;0,00%;100,00%;4,74;129034;4,58;1894;94,30%;2,47%;90,13%;6,86%
jul-19;457021;6711141;25,63%;7807308;35,65%;10857728;71,91%;26,50;00:00:40;00:17:55;134201365;7,76;25,03%;;4,33;0,16;0;457021;0,00%;100,00%;4,73;129909;4,14;875;94,19%;2,58%;77,94%;18,74%
ago-19;411652;7122793;26,18%;8004729;36,86%;11268237;71,04%;26,41;00:00:39;00:17:17;132764129;7,86;25,36%;;4,35;0,16;0;411652;0,00%;100,00%;4,73;130695;4,13;786;94,08%;2,67%;76,59%;16,67%
sept-19;383353;7506146;27,80%;8530396;37,89%;11628171;73,36%;23,75;00:00:38;00:15:10;124431331;7,52;25,07%;;4,36;0,18;0;383353;0,00%;100,00%;4,73;131355;3,96;660;93,97%;2,77%;73,03%;21,97%
oct-19;397161;7903307;29,82%;9183969;38,63%;11898277;77,19%;22,45;00:00:40;00:15:12;134218531;7,78;25,09%;;4,31;0,19;0;397161;0,00%;100,00%;4,72;132103;3,87;748;93,84%;2,90%;69,92%;26,07%
nov-19;421167;8324474;30,07%;9292454;40,03%;12371867;75,11%;23,04;00:00:40;00:15:28;137969101;7,49;24,98%;;4,32;0,19;0;421167;0,00%;100,00%;4,72;132730;3,81;627;93,72%;3,01%;68,10%;26,16%
dic-19;454314;8778788;31,40%;9733884;41,39%;12830956;75,86%;26,13;00:00:40;00:17:27;163198284;8,22;26,52%;;4,30;0,16;0;454314;0,00%;100,00%;4,71;133381;3,71;651;93,58%;3,13%;65,90%;28,88%
ene-20;352662;9131450;30,35%;9439434;41,05%;12766971;73,94%;23,88;00:00:41;00:16:36;150724993;7,41;23,92%;;4,20;0,18;0;352662;0,00%;100,00%;4,71;133905;3,78;524;93,49%;3,23%;69,47%;28,63%
feb-20;343757;9475207;32,31%;10080152;43,30%;13508061;74,62%;22,03;00:00:40;00:14:51;144092209;6,94;23,94%;;3,92;0,18;0;343757;0,00%;100,00%;4,71;134271;3,47;366;93,39%;3,32%;59,56%;36,34%
mar-20;464407;9939614;33,37%;10439266;44,11%;13799522;75,65%;21,30;00:00:40;00:14:31;146002403;6,58;21,24%;;3,84;0,18;0;464407;0,00%;100,00%;4,70;134948;3,36;677;93,21%;3,50%;56,43%;38,40%
abr-20;871506;10811120;38,28%;12002016;47,85%;15003053;80,00%;28,28;00:00:43;00:20:36;237683028;6,98;23,28%;;5,08;0,18;0;871506;0,00%;100,00%;4,69;135769;3,47;821;93,01%;3,69%;60,17%;34,96%
may-20;714645;11525765;39,48%;12406385;49,82%;15654820;79,25%;27,49;00:00:42;00:19:27;231499135;6,91;22,28%;;4,89;0,18;0;714645;0,00%;100,00%;4,69;139332;4,61;3563;92,94%;3,76%;90,35%;6,43%
jun-20;624137;12149902;39,92%;12578521;51,09%;16095942;78,15%;26,05;00:00:42;00:18:23;222211841;6,93;23,11%;;4,49;0,17;0;624137;0,00%;100,00%;4,72;197218;4,79;57886;93,68%;3,19%;95,45%;1,80%
jul-20;768360;12918262;41,22%;12987645;52,08%;16408088;79,15%;32,88;00:00:36;00:20:06;250956285;7,55;24,36%;;8,75;0,27;0;768360;0,00%;100,00%;4,73;251187;4,78;53969;94,01%;2,91%;95,20%;1,90%
ago-20;802762;13721024;43,28%;13706562;53,60%;16104018;81,96%;34,54;00:00:36;00:20:47;273861277;7,64;24,65%;;6,31;0,18;0;802762;0,00%;100,00%;4,73;274187;4,76;23000;94,06%;2,86%;94,69%;2,30%
sept-20;727921;14448945;43,59%;13842842;54,94%;16554557;80,60%;39,93;00:00:33;00:22:31;299862928;7,77;25,91%;;7,35;0,18;0;727921;0,00%;100,00%;4,74;289728;4,77;15541;94,12%;2,81%;95,04%;2,02%
oct-20;626148;15075093;44,98%;14324889;56,47%;17060661;81,00%;42,62;00:00:31;00:22:17;307064206;8,08;26,07%;;7,78;0,18;0;626148;0,00%;100,00%;4,74;305164;4,76;15436;94,14%;2,79%;94,65%;2,40%
nov-20;451164;15526257;46,69%;14907194;57,63%;17458799;82,42%;37,98;00:00:31;00:20:12;289704174;7,65;25,50%;;6,93;0,18;0;451164;0,00%;100,00%;4,74;317028;4,77;11864;94,16%;2,77%;94,62%;2,32%
dic-20;450362;15976619;48,12%;15399913;58,09%;17644336;84,27%;43,42;00:00:30;00:21:52;323880374;8,18;26,38%;;8,05;0,19;0;450362;0,00%;100,00%;4,74;328399;4,77;11371;94,18%;2,76%;94,84%;2,26%
ene-21;484051;16460670;47,71%;15306107;58,34%;17769671;83,19%;42,03;00:00:30;00:21:07;311013182;8,11;26,18%;;7,64;0,18;0;484051;0,00%;100,00%;4,74;338703;4,77;10304;94,20%;2,74%;94,86%;2,27%
feb-21;409709;16870379;47,89%;15406413;59,73%;18242021;81,63%;40,29;00:00:29;00:20:04;297550835;7,66;27,36%;;7,37;0,18;0;409709;0,00%;100,00%;4,74;348018;4,79;9315;94,24%;2,72%;95,45%;2,08%
mar-21;350075;17220454;50,47%;16274852;60,39%;18495653;85,07%;46,82;00:00:29;00:22:44;355827678;8,68;28,01%;;8,68;0,19;0;350075;0,00%;100,00%;4,74;358083;4,79;10370;94,28%;2,70%;95,68%;1,98%
abr-21;403560;17624014;48,87%;15798000;60,19%;18483226;82,63%;43,30;00:00:29;00:21:22;324599631;8,45;28,18%;;7,85;0,18;32667;370893;8,09%;91,91%;4,75;368489;4,80;10406;94,32%;2,68%;95,77%;1,79%
may-21;438602;18062616;49,42%;16018878;61,78%;19022109;81,47%;45,42;00:00:28;00:21:25;330039062;8,66;27,93%;;8,36;0,18;54494;384108;12,42%;87,58%;4,75;372701;4,77;4212;94,33%;2,68%;94,82%;2,73%
jun-21;438197;18500813;49,94%;16232077;61,96%;19127512;81,25%;48,77;00:00:28;00:22:55;353541440;8,70;29,00%;;9,03;0,19;55663;382534;12,70%;87,30%;4,75;392470;4,86;19769;94,47%;2,60%;97,21%;1,12%
jul-21;439504;18940317;51,69%;16848328;61,93%;19170211;84,90%;54,65;00:00:26;00:23:49;386189971;9,05;29,18%;;9,97;0,18;236639;202865;53,84%;46,16%;4,76;420036;4,85;27566;94,60%;2,53%;96,41%;1,54%
ago-21;420844;19361161;51,41%;16797287;64,12%;19900835;81,62%;56,14;00:00:24;00:22:43;366987163;9,28;29,93%;;10,45;0,19;262914;157930;62,47%;37,53%;4,76;437662;4,85;17626;94,69%;2,48%;96,90%;1,25%
sept-21;423134;19784295;52,08%;17066995;62,33%;19395770;85,03%;62,99;00:00:21;00:22:46;373835896;9,43;31,44%;;11,44;0,18;118997;304137;28,12%;71,88%;4,76;452531;4,84;14869;94,76%;2,45%;96,68%;1,75%
oct-21;448113;20232408;54,27%;17828535;64,36%;20080749;85,77%;62,22;00:00:23;00:24:27;419037819;9,84;31,74%;;11,32;0,18;97443;350670;21,75%;78,25%;4,76;465745;4,82;13214;94,79%;2,43%;96,10%;1,69%
nov-21;432244;20664652;54,38%;17911692;65,01%;20337794;84,97%;59,01;00:00:25;00:24:36;423108628;9,73;32,44%;;10,87;0,18;94489;337755;21,86%;78,14%;4,77;470616;4,84;4871;94,81%;2,43%;96,76%;2,09%
dic-21;391695;21056347;55,63%;18369765;66,01%;20705247;85,66%;64,24;00:00:26;00:27:58;493941312;10,55;34,04%;;11,87;0,18;88493;303202;22,59%;77,41%;4,77;486387;4,84;15771;94,88%;2,40%;96,72%;1,65%
ene-22;487468;21543815;55,66%;18422564;66,60%;20946343;84,95%;47,68;00:00:31;00:25:11;446425292;9,82;31,67%;;8,79;0,18;127630;359838;26,18%;73,82%;4,77;498258;4,80;11871;94,90%;2,40%;95,73%;2,28%
feb-22;432757;21976572;56,97%;18902086;66,07%;20831525;87,49%;46,97;00:00:32;00:25:07;456286413;9,45;33,74%;;8,72;0,19;107154;325603;24,76%;75,24%;4,77;508340;4,83;10082;94,93%;2,39%;96,46%;1,62%
